filename,friendliness,type,instance
friendly_android_1.png,friendly,android,1
friendly_android_2.png,friendly,android,2
friendly_android_3.png,friendly,android,3
friendly_android_4.png,friendly,android,4
friendly_android_5.png,friendly,android,5
friendly_android_6.png,friendly,android,6
friendly_android_7.png,friendly,android,7
scary_android_1.png,scary,android,1
scary_android_2.png,scary,android,2
scary_android_3.png,scary,android,3
scary_android_4.png,scary,android,4
scary_android_5.png,scary,android,5
scary_android_6.png,scary,android,6
scary_android_7.png,scary,android,7
friendly_humanoid_1.png,friendly,humanoid,1
friendly_humanoid_2.png,friendly,humanoid,2
friendly_humanoid_3.png,friendly,humanoid,3
friendly_humanoid_4.png,friendly,humanoid,4
friendly_humanoid_5.png,friendly,humanoid,5
friendly_humanoid_6.png,friendly,humanoid,6
friendly_humanoid_7.png,friendly,humanoid,7
scary_humanoid_1.png,scary,humanoid,1
scary_humanoid_2.png,scary,humanoid,2
scary_humanoid_3.png,scary,humanoid,3
scary_humanoid_4.png,scary,humanoid,4
scary_humanoid_5.png,scary,humanoid,5
scary_humanoid_6.png,scary,humanoid,6
scary_humanoid_7.png,scary,humanoid,7
friendly_mechanical_1.png,friendly,mechanical,1
friendly_mechanical_2.png,friendly,mechanical,2
friendly_mechanical_3.png,friendly,mechanical,3
friendly_mechanical_4.png,friendly,mechanical,4
friendly_mechanical_5.png,friendly,mechanical,5
friendly_mechanical_6.png,friendly,mechanical,6
friendly_mechanical_7.png,friendly,mechanical,7
scary_mechanical_1.png,scary,mechanical,1
scary_mechanical_2.png,scary,mechanical,2
scary_mechanical_3.png,scary,mechanical,3
scary_mechanical_4.png,scary,mechanical,4
scary_mechanical_5.png,scary,mechanical,5
scary_mechanical_6.png,scary,mechanical,6
scary_mechanical_7.png,scary,mechanical,7
